quantidadeparcelaspagas,quantidadesparcelas,forma
2,1,prazo
9,3,prazo
5,3,prazo
1,1,prazo
10,8,prazo
6,4,prazo
3,2,prazo
4,3,prazo
11,10,prazo
7,6,prazo
8,8,prazo
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
2,1,prazo
9,3,prazo
5,3,prazo
1,1,prazo
10,8,prazo
6,4,prazo
3,2,prazo
4,3,prazo
11,10,prazo
7,6,prazo
8,8,prazo
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
2,1,prazo
9,3,prazo
5,3,prazo
1,1,prazo
10,8,prazo
6,4,prazo
3,2,prazo
4,3,prazo
11,10,prazo
7,6,prazo
8,8,prazo
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
2,1,prazo
9,3,prazo
5,3,prazo
1,1,prazo
10,8,prazo
6,4,prazo
3,2,prazo
4,3,prazo
11,10,prazo
7,6,prazo
8,8,prazo
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
2,1,prazo
9,3,prazo
5,3,prazo
1,1,prazo
10,8,prazo
6,4,prazo
3,2,prazo
4,3,prazo
11,10,prazo
7,6,prazo
8,8,prazo
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
1,1,avista
2,1,prazo
9,3,prazo
5,3,prazo
1,1,prazo
